Country Code,Country,Year,Status,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,Gini index,PPP,Unemployment,alcohol consumption,Gender Equality,Education expenditure from GDP,self employed,percent of married woman 15-49,Birth rate,suicide rate
AFG,Afghanistan,2014,Developing,59.9,271.0,64,0.01,73.52358168,62.0,492,18.6,86,58.0,8.18,62.0,0.1,612.696514,327582.0,17.5,17.5,0.476,10.0,,17.75273738,7.915,,1.5,3.695219994,87.96262378,,39.105,3.9
AFG,Afghanistan,2013,Developing,59.9,268.0,66,0.01,73.21924272,64.0,430,18.1,89,62.0,8.13,64.0,0.1,631.744976,31731688.0,17.7,17.7,0.47,9.9,,17.65608465,,,1.5,3.454459906,88.42598365,,39.601,4.0
AFG,Afghanistan,2012,Developing,59.5,272.0,69,0.01,78.1842153,67.0,2787,17.6,93,67.0,8.52,67.0,0.1,669.959,3696958.0,17.9,18.0,0.463,9.8,,17.09001287,1.692,,2.0,2.604199886,88.96252627,,40.009,4.0
AFG,Afghanistan,2011,Developing,59.2,275.0,71,0.01,7.097108703,68.0,3013,17.2,97,68.0,7.87,68.0,0.1,63.537231,2978599.0,18.2,18.2,0.454,9.5,,16.788313,,,2.0,3.462009907,89.54088653,21.2,39.855,4.1
AFG,Afghanistan,2010,Developing,58.8,279.0,74,0.01,79.67936736,66.0,1989,16.7,102,66.0,9.2,66.0,0.1,553.32894,2883167.0,18.4,18.4,0.448,9.2,,15.48984353,,0.01241,2.0,3.479449987,90.04945978,21.8,40.602,4.3
AFG,Afghanistan,2009,Developing,58.6,281.0,77,0.01,56.76221682,63.0,2861,16.2,106,63.0,9.42,63.0,0.1,445.8932979,284331.0,18.6,18.7,0.434,8.9,,15.40821005,,,2.0,4.810639858,90.59087335,,41.157,4.4
AFG,Afghanistan,2008,Developing,58.1,287.0,80,0.03,25.87392536,64.0,1599,15.7,110,64.0,8.33,64.0,0.1,373.3611163,2729431.0,18.8,18.9,0.433,8.7,,16.47560686,2.495,,2.0,4.383672237,91.09619383,22.8,41.506,4.6
AFG,Afghanistan,2007,Developing,57.5,295.0,82,0.02,10.91015598,63.0,1141,15.2,113,63.0,6.73,63.0,0.1,369.835796,26616792.0,19.0,19.1,0.415,8.4,,13.53290833,,,2.0,4.174895287,91.27218717,,43.858,4.8
AFG,Afghanistan,2006,Developing,57.3,295.0,84,0.03,17.17151751,64.0,1990,14.7,116,58.0,7.43,58.0,0.1,272.56377,2589345.0,19.2,19.3,0.405,8.1,,12.80721824,,,2.0,4.684760571,91.49608672,18.6,44.721,4.9
AFG,Afghanistan,2005,Developing,57.3,291.0,85,0.02,1.388647732,66.0,1296,14.2,118,58.0,8.7,58.0,0.1,25.2941299,257798.0,19.3,19.5,0.396,7.9,,12.380411,,0.02684,,,91.66349571,13.6,45.263,5.0
AFG,Afghanistan,2004,Developing,57.0,293.0,87,0.02,15.29606643,67.0,466,13.8,120,5.0,8.79,5.0,0.1,219.1413528,24118979.0,19.5,19.7,0.381,6.8,,11.35936716,,,,,91.82965689,,46.33,5.0
AFG,Afghanistan,2003,Developing,56.7,295.0,87,0.01,11.08905273,65.0,798,13.4,122,41.0,8.82,41.0,0.1,198.7285436,2364851.0,19.7,19.9,0.373,6.5,,,,,,,91.96012212,10.3,47.35,5.0
AFG,Afghanistan,2002,Developing,56.2,3.0,88,0.01,16.88735091,64.0,2486,13.0,122,36.0,7.76,36.0,0.1,187.84595,21979923.0,19.9,2.2,0.341,6.2,,,,,,,92.14395086,,48.201,5.0
AFG,Afghanistan,2001,Developing,55.3,316.0,88,0.01,10.5747282,63.0,8762,12.6,122,35.0,7.8,33.0,0.1,117.49698,2966463.0,2.1,2.4,0.34,5.9,,,,,,,92.3089525,,48.979,5.0
AFG,Afghanistan,2000,Developing,54.8,321.0,88,0.01,10.42496,62.0,6532,12.2,122,24.0,8.2,24.0,0.1,114.56,293756.0,2.3,2.5,0.338,5.5,,,,0.00277,,,92.30976367,5.3,49.664,4.9
ALB,Albania,2014,Developing,77.5,8.0,0,4.51,428.7490668,98.0,0,57.2,1,98.0,5.88,98.0,0.1,4575.763787,288914.0,1.2,1.3,0.761,14.2,34.6,54.25209876,18.055,,,3.216967106,57.92617952,,12.15,5.0
ALB,Albania,2013,Developing,77.2,84.0,0,4.76,430.8769785,99.0,0,56.5,1,99.0,5.66,99.0,0.1,4414.72314,289592.0,1.3,1.4,0.759,14.2,,54.17050243,15.866,,,3.539299965,59.51820257,,12.279,5.3
ALB,Albania,2012,Developing,76.9,86.0,0,5.14,412.4433563,99.0,9,55.8,1,99.0,5.59,99.0,0.1,4247.61438,2941.0,1.3,1.4,0.752,14.2,29.0,53.86260691,13.376,,,3.30906105,63.06002044,,12.227,5.2
ALB,Albania,2011,Developing,76.6,88.0,0,5.37,437.0621,99.0,28,55.1,1,99.0,5.71,99.0,0.1,4437.17868,295195.0,1.4,1.5,0.738,13.3,,55.58775097,13.481,,,3.240008354,61.07844126,,12.035,7.9
